524	Oscillator 3 Stack Style
525	Oscillator 3 Stereo Spread
526	Oscillator 3 Transpose
527	Oscillator 3 Transpose Quantize
528	Oscillator 3 Tune
529	Oscillator 3 Blend
530	Oscillator 3 Unison Detune
531	Oscillator 3 Unison Voices
532	Oscillator 3 View 2D
533	Oscillator 3 Wave Frame
534	Sample Destination
535	MPE Enabled
536	Envelope 1 Delay
537	Envelope 2 Delay
538	Envelope 3 Delay
539	Envelope 4 Delay
540	Envelope 5 Delay
541	Envelope 6 Delay
542	Envelope 1 Hold
543	Envelope 2 Hold
544	Envelope 3 Hold
545	Envelope 4 Hold
546	Envelope 5 Hold
547	Envelope 6 Hold
548	Flanger Center
549	EQ Band Mode
550	Reverb Size
551	Delay Frequency 2
552	Delay Sync 2
553	Delay Tempo 2
554	Chorus Voices
555	Phaser Blend
556	Random LFO 1 Sync Type
557	Random LFO 2 Sync Type
558	Random LFO 3 Sync Type
559	Random LFO 4 Sync Type
560	Modulation 33 Amount
561	Modulation 33 Bipolar
562	Modulation 33 Bypass
563	Modulation 33 Power
564	Modulation 33 Stereo
565	Modulation 34 Amount
566	Modulation 34 Bipolar
567	Modulation 34 Bypass
568	Modulation 34 Power
569	Modulation 34 Stereo
570	Modulation 35 Amount
571	Modulation 35 Bipolar
572	Modulation 35 Bypass
573	Modulation 35 Power
574	Modulation 35 Stereo
575	Modulation 36 Amount
576	Modulation 36 Bipolar
577	Modulation 36 Bypass
578	Modulation 36 Power
579	Modulation 36 Stereo
580	Modulation 37 Amount
581	Modulation 37 Bipolar
582	Modulation 37 Bypass
583	Modulation 37 Power
584	Modulation 37 Stereo
585	Modulation 38 Amount
586	Modulation 38 Bipolar
587	Modulation 38 Bypass
588	Modulation 38 Power
589	Modulation 38 Stereo
590	Modulation 39 Amount
591	Modulation 39 Bipolar
592	Modulation 39 Bypass
593	Modulation 39 Power
594	Modulation 39 Stereo
595	Modulation 40 Amount
596	Modulation 40 Bipolar
597	Modulation 40 Bypass
598	Modulation 40 Power
599	Modulation 40 Stereo
600	Modulation 41 Amount
601	Modulation 41 Bipolar
602	Modulation 41 Bypass
603	Modulation 41 Power
604	Modulation 41 Stereo
605	Modulation 42 Amount
606	Modulation 42 Bipolar
607	Modulation 42 Bypass
608	Modulation 42 Power
609	Modulation 42 Stereo
610	Modulation 43 Amount
611	Modulation 43 Bipolar
612	Modulation 43 Bypass
613	Modulation 43 Power
614	Modulation 43 Stereo
615	Modulation 44 Amount
616	Modulation 44 Bipolar
617	Modulation 44 Bypass
618	Modulation 44 Power
619	Modulation 44 Stereo
620	Modulation 45 Amount
621	Modulation 45 Bipolar
622	Modulation 45 Bypass
623	Modulation 45 Power
624	Modulation 45 Stereo
625	Modulation 46 Amount
626	Modulation 46 Bipolar
627	Modulation 46 Bypass
628	Modulation 46 Power
629	Modulation 46 Stereo
630	Modulation 47 Amount
631	Modulation 47 Bipolar
632	Modulation 47 Bypass
633	Modulation 47 Power
634	Modulation 47 Stereo
635	Modulation 48 Amount
636	Modulation 48 Bipolar
637	Modulation 48 Bypass
638	Modulation 48 Power
639	Modulation 48 Stereo
640	Modulation 49 Amount
641	Modulation 49 Bipolar
642	Modulation 49 Bypass
643	Modulation 49 Power
644	Modulation 49 Stereo
645	Modulation 50 Amount
646	Modulation 50 Bipolar
647	Modulation 50 Bypass
648	Modulation 50 Power
649	Modulation 50 Stereo
650	Modulation 51 Amount
651	Modulation 51 Bipolar
652	Modulation 51 Bypass
653	Modulation 51 Power
654	Modulation 51 Stereo
655	Modulation 52 Amount
656	Modulation 52 Bipolar
657	Modulation 52 Bypass
658	Modulation 52 Power
659	Modulation 52 Stereo
660	Modulation 53 Amount
661	Modulation 53 Bipolar
662	Modulation 53 Bypass
663	Modulation 53 Power
664	Modulation 53 Stereo
665	Modulation 54 Amount
666	Modulation 54 Bipolar
667	Modulation 54 Bypass
668	Modulation 54 Power
669	Modulation 54 Stereo
670	Modulation 55 Amount
671	Modulation 55 Bipolar
672	Modulation 55 Bypass
673	Modulation 55 Power
674	Modulation 55 Stereo
675	Modulation 56 Amount
676	Modulation 56 Bipolar
677	Modulation 56 Bypass
678	Modulation 56 Power
679	Modulation 56 Stereo
680	Modulation 57 Amount
681	Modulation 57 Bipolar
682	Modulation 57 Bypass
683	Modulation 57 Power
684	Modulation 57 Stereo
685	Modulation 58 Amount
686	Modulation 58 Bipolar
687	Modulation 58 Bypass
688	Modulation 58 Power
689	Modulation 58 Stereo
690	Modulation 59 Amount
691	Modulation 59 Bipolar
692	Modulation 59 Bypass
693	Modulation 59 Power
694	Modulation 59 Stereo
695	Modulation 60 Amount
696	Modulation 60 Bipolar
697	Modulation 60 Bypass
698	Modulation 60 Power
699	Modulation 60 Stereo
700	Modulation 61 Amount
701	Modulation 61 Bipolar
702	Modulation 61 Bypass
703	Modulation 61 Power
704	Modulation 61 Stereo
705	Modulation 62 Amount
706	Modulation 62 Bipolar
707	Modulation 62 Bypass
708	Modulation 62 Power
709	Modulation 62 Stereo
710	Modulation 63 Amount
711	Modulation 63 Bipolar
712	Modulation 63 Bypass
713	Modulation 63 Power
714	Modulation 63 Stereo
715	Modulation 64 Amount
716	Modulation 64 Bipolar
717	Modulation 64 Bypass
718	Modulation 64 Power
719	Modulation 64 Stereo
720	Compressor Mix
721	Sample Bounce
722	Voice Transpose
723	Stereo Mode
724	Chorus Filter Spread
725	Reverb Delay
726	Voice Override
727	Bypass
728	LFO 1 Transpose
729	LFO 1 Tune
730	LFO 2 Transpose
731	LFO 2 Tune
732	LFO 3 Transpose
733	LFO 3 Tune
734	LFO 4 Transpose
735	LFO 4 Tune
736	LFO 5 Transpose
737	LFO 5 Tune
738	LFO 6 Transpose
739	LFO 6 Tune
740	LFO 7 Transpose
741	LFO 7 Tune
742	LFO 8 Transpose
743	LFO 8 Tune
744	Random LFO 1 Transpose
745	Random LFO 1 Tune
746	Random LFO 2 Transpose
747	Random LFO 2 Tune
748	Random LFO 3 Transpose
749	Random LFO 3 Tune
750	Random LFO 4 Transpose
751	Random LFO 4 Tune
752	Filter 1 Formant Spread
753	Filter 2 Formant Spread
754	Filter fx Formant Spread
755	LFO 1 Smooth Mode
756	LFO 1 Smooth Time
757	LFO 2 Smooth Mode
758	LFO 2 Smooth Time
759	LFO 3 Smooth Mode
760	LFO 3 Smooth Time
761	LFO 4 Smooth Mode
762	LFO 4 Smooth Time
763	LFO 5 Smooth Mode
764	LFO 5 Smooth Time
765	LFO 6 Smooth Mode
766	LFO 6 Smooth Time
767	LFO 7 Smooth Mode
768	LFO 7 Smooth Time
769	LFO 8 Smooth Mode
770	LFO 8 Smooth Time
771	View Spectrogram
772	MIDI CC 0|0
773	MIDI CC 0|1
774	MIDI CC 0|2
775	MIDI CC 0|3
776	MIDI CC 0|4
777	MIDI CC 0|5
778	MIDI CC 0|6
779	MIDI CC 0|7
780	MIDI CC 0|8
781	MIDI CC 0|9
782	MIDI CC 0|10
783	MIDI CC 0|11
784	MIDI CC 0|12
785	MIDI CC 0|13
786	MIDI CC 0|14
787	MIDI CC 0|15
788	MIDI CC 0|16
789	MIDI CC 0|17
790	MIDI CC 0|18
791	MIDI CC 0|19
792	MIDI CC 0|20
793	MIDI CC 0|21
794	MIDI CC 0|22
795	MIDI CC 0|23
796	MIDI CC 0|24
797	MIDI CC 0|25
798	MIDI CC 0|26
799	MIDI CC 0|27
800	MIDI CC 0|28
801	MIDI CC 0|29
802	MIDI CC 0|30
803	MIDI CC 0|31
804	MIDI CC 0|32
805	MIDI CC 0|33
806	MIDI CC 0|34
807	MIDI CC 0|35
808	MIDI CC 0|36
809	MIDI CC 0|37
810	MIDI CC 0|38
811	MIDI CC 0|39
812	MIDI CC 0|40
813	MIDI CC 0|41
814	MIDI CC 0|42
815	MIDI CC 0|43
816	MIDI CC 0|44
817	MIDI CC 0|45
818	MIDI CC 0|46
819	MIDI CC 0|47
820	MIDI CC 0|48
821	MIDI CC 0|49
822	MIDI CC 0|50
823	MIDI CC 0|51
824	MIDI CC 0|52
825	MIDI CC 0|53
826	MIDI CC 0|54
827	MIDI CC 0|55
828	MIDI CC 0|56
829	MIDI CC 0|57
830	MIDI CC 0|58
831	MIDI CC 0|59
832	MIDI CC 0|60
833	MIDI CC 0|61
834	MIDI CC 0|62
835	MIDI CC 0|63
836	MIDI CC 0|64
837	MIDI CC 0|65
838	MIDI CC 0|66
839	MIDI CC 0|67
840	MIDI CC 0|68
841	MIDI CC 0|69
842	MIDI CC 0|70
843	MIDI CC 0|71
844	MIDI CC 0|72
845	MIDI CC 0|73
846	MIDI CC 0|74
847	MIDI CC 0|75
848	MIDI CC 0|76
849	MIDI CC 0|77
850	MIDI CC 0|78
851	MIDI CC 0|79
852	MIDI CC 0|80
853	MIDI CC 0|81
854	MIDI CC 0|82
855	MIDI CC 0|83
856	MIDI CC 0|84
857	MIDI CC 0|85
858	MIDI CC 0|86
859	MIDI CC 0|87
860	MIDI CC 0|88
861	MIDI CC 0|89
862	MIDI CC 0|90
863	MIDI CC 0|91
864	MIDI CC 0|92
865	MIDI CC 0|93
866	MIDI CC 0|94
867	MIDI CC 0|95
868	MIDI CC 0|96
869	MIDI CC 0|97
870	MIDI CC 0|98
871	MIDI CC 0|99
872	MIDI CC 0|100
